Request id,Pickup point,Driver id,Status,Request,timestamp,Drop,timestamp
2,Airport,0,No Cars Available,11-07-16,12:23:00 PM,NA,
4,City,0,No Cars Available,11-07-16,12:37:00 PM,NA,
6,City,0,No Cars Available,11-07-16,12:36:00 PM,NA,NA
7,Airport,0,No Cars Available,11-07-16,12:30:00 PM,NA,
8,City,0,No Cars Available,11-07-16,12:40:00 PM,NA,
12,City,0,No Cars Available,11-07-16,1:08:00 AM,NA,
14,Airport,0,No Cars Available,11-07-16,1:10:00 AM,NA,
15,City,0,No Cars Available,11-07-16,1:15:00 AM,NA,
16,Airport,0,No Cars Available,11-07-16,1:09:00 AM,NA,
17,Airport,0,No Cars Available,11-07-16,1:16:00 AM,NA,
19,City,0,No Cars Available,11-07-16,1:14:00 AM,NA,
20,Airport,0,No Cars Available,11-07-16,1:23:00 AM,NA,
22,Airport,0,No Cars Available,11-07-16,1:40:00 AM,NA,
23,City,0,No Cars Available,11-07-16,1:38:00 AM,NA,
24,Airport,0,No Cars Available,11-07-16,1:48:00 AM,NA,
25,Airport,0,No Cars Available,11-07-16,1:45:00 AM,NA,
26,Airport,0,No Cars Available,11-07-16,1:49:00 AM,NA,
27,Airport,0,No Cars Available,11-07-16,1:49:00 AM,NA,
28,City,0,No Cars Available,11-07-16,2:02:00 AM,NA,
29,City,0,No Cars Available,11-07-16,1:55:00 AM,NA,
31,City,0,No Cars Available,11-07-16,2:10:00 AM,NA,
32,Airport,0,No Cars Available,11-07-16,2:15:00 AM,NA,
36,City,0,No Cars Available,11-07-16,2:33:00 AM,NA,
37,Airport,0,No Cars Available,11-07-16,2:34:00 AM,NA,
38,City,0,No Cars Available,11-07-16,2:39:00 AM,NA,
39,Airport,0,No Cars Available,11-07-16,2:48:00 AM,NA,
40,Airport,0,No Cars Available,11-07-16,2:42:00 AM,NA,
42,Airport,0,No Cars Available,11-07-16,2:55:00 AM,NA,
43,City,0,No Cars Available,11-07-16,3:06:00 AM,NA,
44,Airport,0,No Cars Available,11-07-16,3:07:00 AM,NA,
46,Airport,0,No Cars Available,11-07-16,3:16:00 AM,NA,
49,Airport,0,No Cars Available,11-07-16,3:29:00 AM,NA,
52,City,0,No Cars Available,11-07-16,3:30:00 AM,NA,
54,City,0,No Cars Available,11-07-16,3:34:00 AM,NA,
55,Airport,0,No Cars Available,11-07-16,3:41:00 AM,NA,
56,City,0,No Cars Available,11-07-16,3:58:00 AM,NA,
57,City,0,No Cars Available,11-07-16,3:52:00 AM,NA,
58,Airport,0,No Cars Available,11-07-16,4:03:00 AM,NA,
59,City,0,No Cars Available,11-07-16,3:58:00 AM,NA,
61,Airport,0,No Cars Available,11-07-16,4:05:00 AM,NA,
62,Airport,0,No Cars Available,11-07-16,4:10:00 AM,NA,
63,Airport,0,No Cars Available,11-07-16,4:17:00 AM,NA,
65,Airport,0,No Cars Available,11-07-16,4:23:00 AM,NA,
67,Airport,0,No Cars Available,11-07-16,4:24:00 AM,NA,
68,Airport,0,No Cars Available,11-07-16,4:27:00 AM,NA,
69,Airport,0,No Cars Available,11-07-16,4:27:00 AM,NA,
71,City,0,No Cars Available,11-07-16,4:37:00 AM,NA,
72,City,0,No Cars Available,11-07-16,4:36:00 AM,NA,
73,Airport,0,No Cars Available,11-07-16,4:36:00 AM,NA,
75,Airport,0,No Cars Available,11-07-16,4:40:00 AM,NA,
78,City,0,No Cars Available,11-07-16,4:45:00 AM,NA,
79,City,0,No Cars Available,11-07-16,4:43:00 AM,NA,
83,City,0,No Cars Available,11-07-16,4:44:00 AM,NA,
103,City,0,No Cars Available,11-07-16,5:02:00 AM,NA,
104,City,0,No Cars Available,11-07-16,5:00:00 AM,NA,
117,City,0,No Cars Available,11-07-16,5:13:00 AM,NA,
124,City,0,No Cars Available,11-07-16,5:12:00 AM,NA,
131,City,0,No Cars Available,11-07-16,5:10:00 AM,NA,
135,City,0,No Cars Available,11-07-16,5:20:00 AM,NA,
136,City,0,No Cars Available,11-07-16,5:19:00 AM,NA,
137,City,0,No Cars Available,11-07-16,5:17:00 AM,NA,
138,City,0,No Cars Available,11-07-16,5:20:00 AM,NA,
153,City,0,No Cars Available,11-07-16,5:33:00 AM,NA,
154,City,0,No Cars Available,11-07-16,5:31:00 AM,NA,
159,City,0,No Cars Available,11-07-16,5:43:00 AM,NA,
167,City,0,No Cars Available,11-07-16,5:40:00 AM,NA,
171,City,0,No Cars Available,11-07-16,5:39:00 AM,NA,
178,City,0,No Cars Available,11-07-16,5:47:00 AM,NA,
179,City,0,No Cars Available,11-07-16,5:49:00 AM,NA,
189,City,0,No Cars Available,11-07-16,5:58:00 AM,NA,
190,City,0,No Cars Available,11-07-16,5:53:00 AM,NA,
194,City,0,No Cars Available,11-07-16,6:05:00 AM,NA,
199,City,0,No Cars Available,11-07-16,6:07:00 AM,NA,
203,City,0,No Cars Available,11-07-16,6:07:00 AM,NA,
207,City,0,No Cars Available,11-07-16,6:06:00 AM,NA,
208,Airport,0,No Cars Available,11-07-16,6:05:00 AM,NA,
221,City,0,No Cars Available,11-07-16,6:16:00 AM,NA,
226,City,0,No Cars Available,11-07-16,6:21:00 AM,NA,
228,City,0,No Cars Available,11-07-16,6:24:00 AM,NA,
230,City,0,No Cars Available,11-07-16,6:27:00 AM,NA,
231,City,0,No Cars Available,11-07-16,6:26:00 AM,NA,
254,City,0,No Cars Available,11-07-16,6:40:00 AM,NA,
255,City,0,No Cars Available,11-07-16,6:44:00 AM,NA,
259,City,0,No Cars Available,11-07-16,6:46:00 AM,NA,
263,City,0,No Cars Available,11-07-16,6:44:00 AM,NA,
266,City,0,No Cars Available,11-07-16,6:47:00 AM,NA,
272,City,0,No Cars Available,11-07-16,6:50:00 AM,NA,
274,City,0,No Cars Available,11-07-16,6:50:00 AM,NA,
287,City,0,No Cars Available,11-07-16,7:05:00 AM,NA,
288,City,0,No Cars Available,11-07-16,7:05:00 AM,NA,
300,City,0,No Cars Available,11-07-16,7:13:00 AM,NA,
331,City,0,No Cars Available,11-07-16,7:47:00 AM,NA,
337,City,0,No Cars Available,11-07-16,7:50:00 AM,NA,
342,City,0,No Cars Available,11-07-16,7:51:00 AM,NA,
344,City,0,No Cars Available,11-07-16,7:52:00 AM,NA,
348,City,0,No Cars Available,11-07-16,7:54:00 AM,NA,
349,City,0,No Cars Available,11-07-16,7:51:00 AM,NA,
356,City,0,No Cars Available,11-07-16,8:03:00 AM,NA,
359,City,0,No Cars Available,11-07-16,7:58:00 AM,NA,
364,City,0,No Cars Available,11-07-16,8:05:00 AM,NA,
365,City,0,No Cars Available,11-07-16,8:07:00 AM,NA,
367,City,0,No Cars Available,11-07-16,8:03:00 AM,NA,
369,City,0,No Cars Available,11-07-16,8:04:00 AM,NA,
372,City,0,No Cars Available,11-07-16,8:07:00 AM,NA,
385,City,0,No Cars Available,11-07-16,8:21:00 AM,NA,
388,City,0,No Cars Available,11-07-16,8:21:00 AM,NA,
390,City,0,No Cars Available,11-07-16,8:17:00 AM,NA,
396,City,0,No Cars Available,11-07-16,8:29:00 AM,NA,
408,City,0,No Cars Available,11-07-16,8:37:00 AM,NA,
